="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)";="(7)";="(8)";="(9)"
="Pollutant, ENVI:";="PT,EPSI";="PT,HLT";="PT,EPI";="SO2,EPSI";="SO2,HLT";="SO2,EPI";="NO2,EPSI";="NO2,HLT";="NO2,EPI"
="main";="";="";="";="";="";="";="";="";=""
="1._at";="-0.0111**";="-0.0140***";="-0.0127***";="-0.00384";="-0.00711*";="-0.00578";="-0.00586";="-0.0110***";="-0.00931**"
="";="(0.00518)";="(0.00363)";="(0.00366)";="(0.00530)";="(0.00381)";="(0.00395)";="(0.00509)";="(0.00397)";="(0.00404)"
="2._at";="-0.0106**";="-0.0130***";="-0.0121***";="-0.00350";="-0.00624*";="-0.00522";="-0.00559";="-0.0100***";="-0.00869**"
="";="(0.00506)";="(0.00349)";="(0.00355)";="(0.00515)";="(0.00364)";="(0.00379)";="(0.00495)";="(0.00381)";="(0.00391)"
="3._at";="-0.00709";="-0.0111***";="-0.0106***";="-0.00117";="-0.00457";="-0.00402";="-0.00375";="-0.00809**";="-0.00735**"
="";="(0.00443)";="(0.00330)";="(0.00336)";="(0.00430)";="(0.00337)";="(0.00350)";="(0.00425)";="(0.00358)";="(0.00368)"
="4._at";="-0.00488";="-0.00930***";="-0.00941***";="0.000307";="-0.00303";="-0.00302";="-0.00258";="-0.00633*";="-0.00623*"
="";="(0.00432)";="(0.00323)";="(0.00327)";="(0.00399)";="(0.00320)";="(0.00331)";="(0.00407)";="(0.00344)";="(0.00353)"
="5._at";="-0.00365";="-0.00844***";="-0.00844***";="0.00114";="-0.00228";="-0.00220";="-0.00193";="-0.00546";="-0.00532"
="";="(0.00437)";="(0.00323)";="(0.00324)";="(0.00392)";="(0.00314)";="(0.00320)";="(0.00408)";="(0.00340)";="(0.00345)"
="6._at";="-0.00266";="-0.00740**";="-0.00753**";="0.00179";="-0.00139";="-0.00145";="-0.00141";="-0.00444";="-0.00448"
="";="(0.00446)";="(0.00327)";="(0.00326)";="(0.00392)";="(0.00310)";="(0.00313)";="(0.00414)";="(0.00339)";="(0.00341)"
="7._at";="-0.00190";="-0.00606*";="-0.00499";="0.00230";="-0.000204";="0.000731";="-0.00100";="-0.00310";="-0.00213"
="";="(0.00456)";="(0.00338)";="(0.00352)";="(0.00395)";="(0.00309)";="(0.00313)";="(0.00421)";="(0.00341)";="(0.00347)"
="8._at";="-0.000986";="-0.00221";="-0.00303";="0.00292";="0.00313";="0.00228";="-0.000520";="0.000724";="-0.000315"
="";="(0.00471)";="(0.00396)";="(0.00389)";="(0.00403)";="(0.00336)";="(0.00333)";="(0.00434)";="(0.00376)";="(0.00369)"
="9._at";="-0.0000370";="-0.00114";="-0.00202";="0.00355";="0.00403";="0.00312";="-0.0000175";="0.00179";="0.000620"
="";="(0.00491)";="(0.00418)";="(0.00412)";="(0.00416)";="(0.00350)";="(0.00348)";="(0.00452)";="(0.00391)";="(0.00385)"
="10._at";="0.000624";="-0.000348";="-0.00110";="0.00400";="0.00473";="0.00388";="0.000332";="0.00257";="0.00147"
="";="(0.00507)";="(0.00435)";="(0.00435)";="(0.00427)";="(0.00362)";="(0.00366)";="(0.00466)";="(0.00404)";="(0.00402)"
